Entry	Gene names	Gene names  (primary )	Protein names	Length	Mass	EC number	Cross-reference (KEGG)
P74006	sll1236		Sll1236 protein	127	14,712		syn:sll1236;
Q6YRX1	slr6033		Slr6033 protein	142	16,774		syn:slr6033;
P73766	slr0870		Slr0870 protein	120	13,762		syn:slr0870;
Q6ZE57	sll8035		Sll8035 protein	167	19,478		syn:sll8035;
P74499	slr1939		Slr1939 protein	669	75,783		syn:slr1939;
P74284	slr1687		Slr1687 protein	233	25,536		syn:slr1687;
P73644	cbiL	cbiL	S-adenosyl-methionine: precorrin-2 methyltransferase	242	26,971		syn:slr1879;
P74463	pilT	pilT	Twitching motility protein	369	40,616		syn:slr0161;
P74141	cbaB	cbaB	3-chlorobenzoate-3,4-dioxygenase	357	40,828		syn:sll1869;
P74654	ama	ama	N-acyl-L-amino acid amidohydrolase	416	45,440		syn:slr1653;
P73439	sll1461		Sll1461 protein	220	25,525		syn:sll1461;
Q6YRP8	slr6106		Slr6106 protein	408	47,383		syn:slr6106;
P73438	hypE	hypE	Hydrogenase expression/formation protein HypE	345	36,426		syn:sll1462;
Q6ZEA1	slr7097		Slr7097 protein	208	24,022		syn:slr7097;
Q6ZER2	ssl5068		DNA (cytosine-5-)-methyltransferase (EC 2.1.1.37)	75	8,071	2.1.1.37	syn:ssl5068;
Q6ZE56	slr8036		Slr8036 protein	232	26,113		syn:slr8036;
Q6ZEF7	slr7041		Slr7041 protein	120	13,318		syn:slr7041;
Q6ZED4	sll7064		Uncharacterized protein	193	21,875		syn:sll7064;
P74773	sgl0001		Sgl0001 protein	39	4,659		syn:sgl0001;
P73041	sll1642		Sll1642 protein	163	18,601		syn:sll1642;
P73811	slr2059		Ferredoxin	134	14,826		syn:slr2059;
Q55148	sll0062		Sll0062 protein	149	16,363		syn:sll0062;
P74179	slr1266		Slr1266 protein	185	19,529		syn:slr1266;
P73404	slr1837		OmpR subfamily	234	25,655		syn:slr1837;
P74720	sll1106		Sll1106 protein	171	18,031		syn:sll1106;
Q55917	sll0280		Sll0280 protein	367	43,226		syn:sll0280;
Q6ZEX7	sll5003		Sll5003 protein	134	15,098		syn:sll5003;
P73339	sll1121		DNA helicase (EC 3.6.4.12)	770	85,497	3.6.4.12	syn:sll1121;
P73989	slr2122		Slr2122 protein	225	25,816		syn:slr2122;
P74237	slr1162		Slr1162 protein	314	36,864		syn:slr1162;
P74014	sll1229		Hybrid sensory kinase	378	42,383		syn:sll1229;
P73753	lmbP	lmbP	LmbP protein	326	36,364		syn:slr0862;
Q55767	slr0195		Slr0195 protein	183	20,654		syn:slr0195;
Q55727	slr0645		Slr0645 protein	206	22,786		syn:slr0645;
Q6YRS2	ssl6023 ssl6082		Ssl6023 protein (Ssl6082 protein)	70	8,125		syn:ssl6023;syn:ssl6082;
Q6YRR7	slr6028 slr6087		Slr6028 protein (Slr6087 protein)	185	21,076		syn:slr6028;syn:slr6087;
Q6YRT2	slr6013 slr6072		Slr6013 protein (Slr6072 protein)	518	61,007		syn:slr6013;syn:slr6072;
Q6YRS0	slr6025 slr6084		Slr6025 protein (Slr6084 protein)	169	19,745		syn:slr6025;syn:slr6084;
Q6YRS6	ssr6019 ssr6078		Ssr6019 protein (Ssr6078 protein)	65	7,286		syn:ssr6019;syn:ssr6078;
Q6YRT0	slr6015 slr6074		Slr6015 protein (Slr6074 protein)	551	62,843		syn:slr6015;syn:slr6074;
Q6YRR6	slr6029 slr6088		Slr6029 protein (Slr6088 protein)	165	18,605		syn:slr6029;syn:slr6088;
Q6YRT7	slr6008 slr6067		Slr6008 protein (Slr6067 protein)	343	38,605		syn:slr6008;syn:slr6067;
Q6YRU0	slr6005 slr6064		Slr6005 protein (Slr6064 protein)	262	29,135		syn:slr6005;syn:slr6064;
Q6YRT1	slr6014 slr6073		Slr6014 protein (Slr6073 protein)	467	53,739		syn:slr6014;syn:slr6073;
Q6ZE47	sll8043 slr8045		Transposase	119	13,912		syn:sll8043;syn:slr8045;
Q6YRT9	slr6006 slr6065		Slr6006 protein (Slr6065 protein)	342	37,318		syn:slr6006;syn:slr6065;
Q6YRS1	ssr6024 ssr6083		Ssr6024 protein (Ssr6083 protein)	59	6,802		syn:ssr6024;syn:ssr6083;
Q6YRT5	sll6010 sll6069		Sll6010 protein (Sll6069 protein)	221	23,133		syn:sll6010;syn:sll6069;
Q6ZE46	sll8042 slr8046		Transposase	164	18,520		syn:sll8042;syn:slr8046;
P75027	sll0431 sll1397 slr1075		Transposase	282	32,749		syn:sll0431;syn:sll1397;syn:slr1075;
Q6YRR8	ssr6027 ssr6086		Ssr6027 protein (Ssr6086 protein)	63	7,593		syn:ssr6027;syn:ssr6086;
Q6YRS3	slr6022 slr6081		Slr6022 protein (Slr6081 protein)	261	25,593		syn:slr6022;syn:slr6081;
Q6YRS9	slr6016 slr6075		Slr6016 protein (Slr6075 protein)	800	92,847		syn:slr6016;syn:slr6075;
Q6YRT3	slr6012 slr6071		Slr6012 protein (Slr6071 protein)	730	84,207		syn:slr6012;syn:slr6071;
Q6YRP9	sll5131 slr6105		Transposase	338	39,179		syn:sll5131;syn:slr6105;
Q6YRT6	slr6009 slr6068		Slr6009 protein (Slr6068 protein)	264	29,786		syn:slr6009;syn:slr6068;
Q57248	slr0230 slr0704		Transposase	282	32,761		syn:slr0230;syn:slr0704;
Q6YRS4	slr6021 slr6080		Slr6021 protein (Slr6080 protein)	154	18,006		syn:slr6021;syn:slr6080;
Q55697	sll0200 sll0699 sll1256 sll1436 sll1983 slr1715 slr1936 slr7104		Transposase	119	13,960		syn:sll0200;syn:sll0699;syn:sll1256;syn:sll1436;syn:sll1983;syn:slr1715;syn:slr1936;syn:slr7104;
Q57495	sll0012 sll0677 sll1860 slr0350 slr0703		Transposase	261	30,539		syn:sll0012;syn:sll0677;syn:sll1860;syn:slr0350;syn:slr0703;
Q6YRS5	ssr6020 ssr6079		Ssr6020 protein (Ssr6079 protein)	72	8,990		syn:ssr6020;syn:ssr6079;
Q6YRS8	sll6017 sll6076		Sll6017 protein (Sll6076 protein)	256	29,212		syn:sll6017;syn:sll6076;
Q6YRT4	slr6011 slr6070		Slr6011 protein (Slr6070 protein)	175	19,715		syn:slr6011;syn:slr6070;
Q6YRR9	ssr6026 ssr6085		Ssr6026 protein (Ssr6085 protein)	85	10,224		syn:ssr6026;syn:ssr6085;
Q55696	sll0201 sll0651 sll0700 sll1257 sll1437 sll1984 slr0857 slr1716 slr1937 slr2113 slr7105		Transposase	164	18,490		syn:sll0201;syn:sll0651;syn:sll0700;syn:sll1257;syn:sll1437;syn:sll1984;syn:slr0857;syn:slr1716;syn:slr1937;syn:slr2113;syn:slr7105;
Q6YRT8	slr6007 slr6066		Slr6007 protein (Slr6066 protein)	357	39,731		syn:slr6007;syn:slr6066;
Q6YRS7	ssl6018 ssl6077		Ssl6018 protein (Ssl6077 protein)	71	7,714		syn:ssl6018;syn:ssl6077;
P74477	sll1864		Chloride channel protein	899	98,469		syn:sll1864;
P73030	sll1001		ABC transporter	260	28,678		syn:sll1001;
P74036	rfbB	rfbB	UDP-glucuronate decarboxylase (EC 4.1.1.35)	328	36,942	4.1.1.35	syn:slr0809;
P74489	sll1858		Sll1858 protein	627	69,725		syn:sll1858;
P74595	rpoF	rpoF	RNA polymerase sigma-37	258	29,523		syn:slr1564;
P74577	sll0623		Sll0623 protein	262	28,194		syn:sll0623;
P73650	livF	livF	High-affinity branched-chain amino acid transport ATP-binding protein BraG	240	25,705		syn:slr1881;
P73969	sll1411		Sll1411 protein	145	16,596		syn:sll1411;
Q55722	slr0643		Slr0643 protein	493	54,358		syn:slr0643;
P72722	sll0218		Sll0218 protein	172	19,576		syn:sll0218;
Q55406	desC(des9)	desC(des9)	Acyl-CoA desaturase 1	318	37,203		syn:sll0541;
Q55140	sll0066		Sll0066 protein	315	34,168		syn:sll0066;
P72586	rfbD gmd	rfbD	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	362	41,334	4.2.1.47	syn:sll1212;
P73502	slr1436		Slr1436 protein	283	32,003		syn:slr1436;
Q55878	sll0101		Sll0101 protein	102	12,118		syn:sll0101;
Q55846	sll0471		Sll0471 protein	684	76,399		syn:sll0471;
Q55181	slr0491		Slr0491 protein	144	16,726		syn:slr0491;
Q6ZEL8	slr5112		Uncharacterized protein	377	43,481		syn:slr5112;
P72682	slr0734		Slr0734 protein	372	41,081		syn:slr0734;
P73751	sll0847		Sll0847 protein	201	22,440		syn:sll0847;
Q55757	sll0369		Sll0369 protein	142	15,913		syn:sll0369;
Q6YRQ8	slr6096		Slr6096 protein	373	42,090		syn:slr6096;
P74509	slr1946		Slr1946 protein	261	29,213		syn:slr1946;
P74242	slr1166		Slr1166 protein	354	39,290		syn:slr1166;
Q6ZEP2	slr5088		Slr5088 protein	238	26,170		syn:slr5088;
P73721	slr1735		ABC transporter	252	28,018		syn:slr1735;
P73934	slr2105		Slr2105 protein	595	65,427		syn:slr2105;
P72927	sucC	sucC	Succinate--CoA ligase	401	44,052		syn:sll1023;
Q6ZEG6	slr7032		Slr7032 protein	105	12,157		syn:slr7032;
P73322	ycf21	ycf21	Ycf21 gene product	139	16,394		syn:sll1797;
P73468	malK	malK	Cytoplasmic membrane protein for maltose uptake	408	45,184		syn:slr1224;
P74076	slr1340		Slr1340 protein	178	19,393		syn:slr1340;
P72897	slr1619		Rhamnosyl O-methyltransferase	249	27,753		syn:slr1619;
P73231	slr2011		Slr2011 protein	199	21,212		syn:slr2011;
P73503	slr1437		Slr1437 protein	112	12,672		syn:slr1437;
P73510	sll1358		Sll1358 protein	394	43,151		syn:sll1358;
P73993	slr2126		Slr2126 protein	288	33,110		syn:slr2126;
P74581	slr0664		Slr0664 protein	120	13,680		syn:slr0664;
P72969	slr1591		Slr1591 protein	382	41,981		syn:slr1591;
Q55602	nifS	nifS	Cysteine desulfurase (EC 2.8.1.7)	386	41,682	2.8.1.7	syn:slr0387;
Q6YRW0	slr6044		Slr6044 protein	159	17,340		syn:slr6044;
Q6ZED5	sll7063		Uncharacterized protein	795	90,212		syn:sll7063;
P72650	crtX	crtX	Zeaxanthin glucosyl transferase	419	45,330		syn:slr1125;
P73783	sll1155		Sll1155 protein	113	12,434		syn:sll1155;
Q55538	sll0297		Sll0297 protein	195	22,669		syn:sll0297;
P74022	hoxU	hoxU	Hydrogenase subunit	238	26,196		syn:sll1223;
Q6ZEW0	ssr5020		Ssr5020 protein	93	11,108		syn:ssr5020;
Q55703	slr0231		Slr0231 protein	152	17,830		syn:slr0231;
P73330	slr1902		Transposase	141	15,827		syn:slr1902;
Q6ZER9	sll5061		Sll5061 protein	125	14,075		syn:sll5061;
P74686	ski2	ski2	Antiviral protein	1006	113,385		syn:slr0451;
P74754	slr0607		Slr0607 protein	129	14,378		syn:slr0607;
Q6ZEB3	sll7085		Uncharacterized protein	576	65,410		syn:sll7085;
P73159	cydA	cydA	Cytochrome oxidase d subunit I	483	53,852		syn:slr1379;
Q55402	slr0573		Slr0573 protein	147	16,889		syn:slr0573;
Q55711	slr0634		Slr0634 protein	192	21,728		syn:slr0634;
P74614	ndh	ndh	NADH dehydrogenase	524	56,862		syn:sll1484;
P73105	amiA	amiA	N-acetylmuramoyl-L-alanine amidase	338	37,930		syn:slr1910;
P74734	sll0572		Sll0572 protein	470	52,017		syn:sll0572;
P73504	slr1438		Slr1438 protein	289	33,029		syn:slr1438;
Q55631	sll0749		Sll0749 protein	199	21,201		syn:sll0749;
P73286	ssl3451		Ssl3451 protein	81	9,117		syn:ssl3451;
P73155	slr1039		Slr1039 protein	233	26,104		syn:slr1039;
P74349	pilT	pilT	Twitching mobility protein	428	47,899		syn:sll1533;
P74571	prlC	prlC	Oligopeptidase A	713	80,297		syn:slr0659;
P74265	slr1677		Lipid-A-disaccharide synthase (EC 2.4.1.182)	408	45,308	2.4.1.182	syn:slr1677;
P73725	sll1623		ABC transporter	223	24,332		syn:sll1623;
Q55869	aroH	aroH	Chorismate mutase AroH (EC 5.4.99.5)	127	14,401	5.4.99.5	syn:sll0109;
Q55858	slr0617		Slr0617 protein	451	45,789		syn:slr0617;
P73913	ilvG	ilvG	Acetolactate synthase (EC 2.2.1.6)	621	67,730	2.2.1.6	syn:slr2088;
P73089	slr2046		Fat protein	1965	205,732		syn:slr2046;
P74317	sll0912		ABC transporter	636	72,174		syn:sll0912;
P72693	ssl0426		Transposase	97	10,932		syn:ssl0426;
P74534	sll1338		Sll1338 protein	187	20,183		syn:sll1338;
P73794	slr1253		Slr1253 protein	104	11,557		syn:slr1253;
Q6ZEN4	ssl5096		Recombinase domain-containing protein	69	7,924		syn:ssl5096;
P73741	rimI	rimI	Ribosomal-protein-alanine acetyltransferase	158	18,007		syn:slr0853;
Q55565	slr0179		Slr0179 protein	357	40,411		syn:slr0179;
P72694	cbiF	cbiF	Precorrin methylase	264	28,769		syn:slr0239;
P74153	slr1468		Tymocyte protein cThy28kD	149	16,750		syn:slr1468;
Q6ZEG1	slr7037		Slr7037 protein	958	107,329		syn:slr7037;
P73402	sll1723		Sll1723 protein	413	46,201		syn:sll1723;
Q55847	sll0470		Sll0470 protein	186	20,719		syn:sll0470;
Q6ZEA6	cas1 slr7092	cas1	CRISPR-associated endonuclease Cas1 (EC 3.1.-.-)	329	38,076	3.1.-.-	syn:slr7092;
P74115	sll1888		Sensory transduction histidine kinase	432	47,413		syn:sll1888;
P74775	ssr1407		Ssr1407 protein	71	7,968		syn:ssr1407;
Q55194	sll0685		Sll0685 protein	162	17,187		syn:sll0685;
Q6ZEW2	slr5018		Slr5018 protein	113	12,850		syn:slr5018;
P73403	sll1722		Sll1722 protein	433	49,045		syn:sll1722;
P73010	tatA slr1046	tatA	Sec-independent protein translocase protein TatA	126	13,673		syn:slr1046;
P73507	dnaX	dnaX	DNA polymerase III subunit	1116	122,010		syn:sll1360;
P73059	merA	merA	Mercuric reductase	518	55,716		syn:slr1849;
P73958	slr1515		Slr1515 protein	474	52,242		syn:slr1515;
Q55776	sll0180		Sll0180 protein	501	53,966		syn:sll0180;
Q55685	cobU	cobU	Adenosylcobinamide kinase (EC 2.7.1.156) (EC 2.7.7.62) (Adenosylcobinamide-phosphate guanylyltransferase)	185	20,530	2.7.1.156; 2.7.7.62	syn:slr0216;
P74756	slr0609		47 kD protein	383	43,263		syn:slr0609;
P72903	galE	galE	UDP-glucose 4-epimerase (EC 5.1.3.2)	340	37,496	5.1.3.2	syn:slr1067;
P74310	sll0914		Sll0914 protein	376	43,019		syn:sll0914;
Q6ZEV8	slr5022		Cysteine desulfurase (EC 2.8.1.7)	385	41,892	2.8.1.7	syn:slr5022;
P73748	slr0856		Transposase	119	13,988		syn:slr0856;
P73333	sll1791		Transposase	128	14,643		syn:sll1791;
Q59999	sll0672		Cation-transporting ATPase E1-E2 ATPase	945	102,477		syn:sll0672;
Q55799	gspE	gspE	General secretion pathway protein E	813	90,136		syn:slr0079;
P73117	ftsI	ftsI	Penicillin-binding protein	607	66,632		syn:sll1833;
P73727	slr1737		Slr1737 protein	363	41,480		syn:slr1737;
Q55765	slr0193		RNA-binding protein	151	16,617		syn:slr0193;
P72847	sll1186		Sll1186 protein	216	25,118		syn:sll1186;
Q6ZEP6	sll5084		Sll5084 protein	238	26,886		syn:sll5084;
P74748	slr0602		Slr0602 protein	129	14,418		syn:slr0602;
Q55474	sll0513		Sll0513 protein	277	31,152		syn:sll0513;
P72728	slr1414		Sensory transduction histidine kinase	437	47,993		syn:slr1414;
P73829	slr1998		Slr1998 protein	425	48,217		syn:slr1998;
P73013	sll1011		Sll1011 protein	270	29,997		syn:sll1011;
Q6ZER1	sll5069		Uncharacterized protein	491	55,665		syn:sll5069;
P73736	amiA	amiA	N-acetylmuramoyl-L-alanine amidase	649	70,011		syn:slr1744;
Q55926	blaOXA-3	blaOXA-3	Beta-lactamase (EC 3.5.2.6)	304	34,777	3.5.2.6	syn:slr0319;
P74224	sll1103		Sll1103 protein	445	47,308		syn:sll1103;
P74097	slr1959		Slr1959 protein	827	95,536		syn:slr1959;
P73872	sll0254		Sll0254 protein	650	71,844		syn:sll0254;
Q55198	pstC	pstC	Phosphate transport system permease protein	317	33,849		syn:sll0681;
P74697	slr0458		Slr0458 protein	211	23,274		syn:slr0458;
P73348	slr1198		Rehydrin	211	23,560		syn:slr1198;
Q6ZE73	sll8019		Sll8019 protein	575	64,959		syn:sll8019;
Q6ZEL1	slr5119		Slr5119 protein	256	29,502		syn:slr5119;
P72877	epsB	epsB	Exopolysaccharide export protein	756	83,641		syn:sll0923;
Q55623	sll0756		Sll0756 protein	202	21,814		syn:sll0756;
Q6ZED8	slr7060		Slr7060 protein	588	64,114		syn:slr7060;
Q55726	sll0602		Sll0602 protein	691	77,764		syn:sll0602;
P74732	slr0591		Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1)	355	41,603	1.17.4.1	syn:slr0591;
P73823	cyaA	cyaA	Adenylate cyclase	337	37,584		syn:slr1991;
Q6YRW6	slr6038		Slr6038 protein	100	11,631		syn:slr6038;
Q55970	sll0669		Sll0669 protein	106	12,351		syn:sll0669;
Q55390	sll0553		Sll0553 protein	345	38,270		syn:sll0553;
Q55490	slr0544		ABC transporter	266	28,974		syn:slr0544;
P74062	slr0822		Cation-transporting ATPase E1-E2 ATPase	953	103,649		syn:slr0822;
P74375	slr0442		Slr0442 protein	611	62,908		syn:slr0442;
P73549	sll1268		Sll1268 protein	517	53,821		syn:sll1268;
Q55949	merR	merR	Nitrilase	346	37,985		syn:sll0784;
Q55392	slr0565		Slr0565 protein	325	35,381		syn:slr0565;
Q6ZE97	slr7101		Uncharacterized protein	180	19,407		syn:slr7101;
Q6ZE89	ssl8003		Uncharacterized protein	59	6,528		syn:ssl8003;
P73323	slr1895		Slr1895 protein	404	45,139		syn:slr1895;
Q55733	sll0396		OmpR subfamily	224	25,971		syn:sll0396;
P73718	sll1630		Sll1630 protein	141	15,796		syn:sll1630;
P74801	ssr1041		Ssr1041 protein	79	8,330		syn:ssr1041;
P73413	sll1717		Sll1717 protein	511	58,095		syn:sll1717;
P73592	slr1406		Slr1406 protein	181	18,752		syn:slr1406;
P73029	ycf22	ycf22	Ycf22 protein	456	49,209		syn:sll1002;
Q6ZEF9	ssl7039		Ssl7039 protein	96	10,872		syn:ssl7039;
P72968	slr1590		Slr1590 protein	295	32,604		syn:slr1590;
P73359	slr1208		Short-chain alcohol dehydrogenase family	657	71,554		syn:slr1208;
P73973	ssr3571		Antitoxin	87	9,948		syn:ssr3571;
P73630	ssl3382		Ssl3382 protein	58	6,648		syn:ssl3382;
P73805	sll1960		Sll1960 protein	140	15,326		syn:sll1960;
P74131	slr1980		Slr1980 protein	297	33,479		syn:slr1980;
P73154	sll0980		Sll0980 protein	396	43,823		syn:sll0980;
Q55885	sll0094		Sensory transduction histidine kinase	457	51,781		syn:sll0094;
P74731	rfbA	rfbA	Transport permease protein	271	30,304		syn:sll0574;
Q55633	slr0341		Slr0341 protein	318	35,076		syn:slr0341;
P73835	sll1902		Sll1902 protein	399	45,949		syn:sll1902;
P74302	slr0937		Slr0937 protein	417	46,101		syn:slr0937;
P74431	slr0401		Spermidine/putrescine-binding periplasmic protein	384	43,406		syn:slr0401;
P73239	slr2019		ABC transporter	593	65,762		syn:slr2019;
P74637	sll0729		Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	285	32,862	2.1.1.72	syn:sll0729;
P73400	sll1725		ABC transporter	610	67,029		syn:sll1725;
P74281	sll1559		Soluble hydrogenase 42 kD subunit	384	40,768		syn:sll1559;
P72675	slr0731		Slr0731 protein	402	44,716		syn:slr0731;
P73096	slr2053		Slr2053 protein	283	31,923		syn:slr2053;
P74524	slr1420		Slr1420 protein	425	46,309		syn:slr1420;
Q6ZEE0	slr7058		Slr7058 protein	100	11,492		syn:slr7058;
P73957	ssr2549		Ssr2549 protein	56	6,343		syn:ssr2549;
Q55151	slr0060		Slr0060 protein	369	41,841		syn:slr0060;
P72948	sll0649		OmpR subfamily	245	28,428		syn:sll0649;
Q55886	slr0110		Slr0110 protein	211	23,087		syn:slr0110;
P74484	slr1932		Slr1932 protein	231	25,504		syn:slr1932;
Q55598	slr0384		Slr0384 protein	409	44,871		syn:slr0384;
P72770	slr1776		High affinity sulfate transporter	566	60,929		syn:slr1776;
P74622	sll1475		Sensory transduction histidine kinase	297	33,918		syn:sll1475;
Q55679	aspC	aspC	Aspartate aminotransferase	394	43,979		syn:sll0006;
P72647	sll1053		Sll1053 protein	520	56,258		syn:sll1053;
P74474	slr1924		D-alanyl-D-alanine carboxypeptidase	400	44,316		syn:slr1924;
P73115	slr1917		Slr1917 protein	302	33,225		syn:slr1917;
P73757	nplT	nplT	Neopullulanase	508	58,057		syn:sll0842;
P72996	sll1505		Sll1505 protein	111	13,098		syn:sll1505;
P73235	slr2015		Slr2015 protein	380	39,818		syn:slr2015;
Q55821	sll0484		ABC transporter	245	26,672		syn:sll0484;
P73798	slr1258		Slr1258 protein	251	27,100		syn:slr1258;
P74080	slr1343		Slr1343 protein	504	58,142		syn:slr1343;
Q6ZE66	slr8026		MarR family transcriptional regulatory protein	174	19,788		syn:slr8026;
Q6ZEI5	slr7013		Slr7013 protein	254	28,914		syn:slr7013;
P73600	sll1785		Sll1785 protein	268	30,011		syn:sll1785;
P73966	slr1522		Transposase	358	41,985		syn:slr1522;
P73230	ssr3410		Ssr3410 protein	98	11,027		syn:ssr3410;
Q55987	slr0765		Slr0765 protein	617	68,875		syn:slr0765;
P74161	sll1381		Sll1381 protein	137	15,662		syn:sll1381;
P74700	ssr0817		Transposase	70	8,343		syn:ssr0817;
P74608	slr1575		Slr1575 protein	479	53,763		syn:slr1575;
P73606	slr1855		Slr1855 protein	607	70,004		syn:slr1855;
P74672	slr1667		Slr1667 protein	178	18,384		syn:slr1667;
Q55897	slr0121		Slr0121 protein	495	52,995		syn:slr0121;
P74114	slr1971		Slr1971 protein	283	31,476		syn:slr1971;
P72938	nucH	nucH	Uncharacterized protein YjiK	1879	196,534		syn:sll0656;
Q55192	sll0687		Sll0687 protein	185	20,830		syn:sll0687;
Q55431	sdhB	sdhB	Fumarate reductase iron-sulfur subunit (EC 1.3.5.4)	245	27,289	1.3.5.4	syn:sll0823;
P73238	slr2018		Slr2018 protein	799	84,854		syn:slr2018;
P73804	sll1961		Sll1961 protein	388	42,962		syn:sll1961;
P73996	sll1995		Sll1995 protein	309	35,850		syn:sll1995;
P73353	slr1203		Slr1203 protein	145	17,066		syn:slr1203;
Q55865	sll0585		Sll0585 protein	342	37,618		syn:sll0585;
Q6YRV6	ssr6048		Ssr6048 protein	75	8,389		syn:ssr6048;
P72921	slr1084		Slr1084 protein	146	16,050		syn:slr1084;
P73075	slr2038		Slr2038 protein	216	24,762		syn:slr2038;
P72967	slr0695		Slr0695 protein	173	19,049		syn:slr0695;
P74464	gspF	gspF	General secretion pathway protein F	165	17,776		syn:slr0162;
Q55583	slr0366		Slr0366 protein	1742	179,711		syn:slr0366;
P73745	sll0855		Sll0855 protein	451	48,425		syn:sll0855;
P73207	slr1704		Slr1704 protein	274	28,957		syn:slr1704;
Q6ZEH8	ssl7020		Uncharacterized protein	56	6,257		syn:ssl7020;
P72672	slr0728		Slr0728 protein	387	42,985		syn:slr0728;
P73454	slr1748		Slr1748 protein	214	24,168		syn:slr1748;
Q55536	xylR	xylR	Xylose repressor	327	34,608		syn:slr0329;
P72862	cbiH	cbiH	Precorrin methylase	627	67,611		syn:slr0969;
P73675	ssl3829		Ssl3829 protein	85	9,836		syn:ssl3829;
Q55952	sll0782		HTH luxR-type domain-containing protein	369	41,020		syn:sll0782;
Q55517	sll0529		Sll0529 protein	731	78,317		syn:sll0529;
P73357	slr1207		Slr1207 protein	514	55,777		syn:slr1207;
Q6ZEC0	sll7078		WYL domain-containing protein	288	35,021		syn:sll7078;
Q6ZEV9	slr5021		Slr5021 protein	104	11,964		syn:slr5021;
Q55820	sll0485		NarL subfamily	299	34,125		syn:sll0485;
Q55136	icfA	icfA	Carbonic anhydrase (EC 4.2.1.1)	263	27,890	4.2.1.1	syn:slr0051;
P73897	sll0241		Sll0241 protein	340	38,089		syn:sll0241;
Q55549	slr0168		Slr0168 protein	643	68,370		syn:slr0168;
P74506	slr1944		Slr1944 protein	538	58,686		syn:slr1944;
Q55501	slr0929		Slr0929 protein	195	21,699		syn:slr0929;
P72981	sll1511		Sll1511 protein	205	23,108		syn:sll1511;
P73422	slr1537		Slr1537 protein	289	32,417		syn:slr1537;
P74543	slr1451		Slr1451 protein	261	29,489		syn:slr1451;
Q6ZEA9	sll7089		Uncharacterized protein	370	42,153		syn:sll7089;
P74092	slr1956		Slr1956 protein	172	19,109		syn:slr1956;
P73032	slr1753		Slr1753 protein	1749	185,062		syn:slr1753;
P73043	gad	gad	Glutamate decarboxylase (EC 4.1.1.15)	467	53,041	4.1.1.15	syn:sll1641;
P74515	slr0990		Slr0990 protein	389	44,072		syn:slr0990;
P74652	hlyB	hlyB	Haemolysin secretion ATP-binding protein	733	81,300		syn:slr1651;
Q6ZEH0	sll7028		Sll7028 protein	418	47,058		syn:sll7028;
P73877	slr0262		Slr0262 protein	134	14,505		syn:slr0262;
P73819	sll1949		Sll1949 protein	247	25,259		syn:sll1949;
Q55807	slr0086		Slr0086 protein	531	59,185		syn:slr0086;
P74372	pgsA	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	179	19,709		syn:sll1522;
P73432	slr1546		Slr1546 protein	212	23,802		syn:slr1546;
P73760	sll0839		Sll0839 protein	197	21,578		syn:sll0839;
P72661	me	me	Malic enzyme	463	48,700		syn:slr0721;
P73020	chlH	chlH	Magnesium chelatase (EC 6.6.1.1)	1331	148,555	6.6.1.1	syn:slr1055;
P73707	sll1692		Sll1692 protein	145	17,258		syn:sll1692;
Q55817	sll0488		Sll0488 protein	203	22,629		syn:sll0488;
P72690	slr0236		Slr0236 protein	222	25,007		syn:slr0236;
P73604	slr1853		Slr1853 protein	113	12,111		syn:slr1853;
Q55677	sll0008		Sll0008 protein	169	19,023		syn:sll0008;
Q6ZEE4	slr7054		Uncharacterized protein	190	21,308		syn:slr7054;
P73142	slr1032		Slr1032 protein	117	13,041		syn:slr1032;
Q55582	slr0364		Slr0364 protein	3029	308,792		syn:slr0364;
Q55457	slr0038		Slr0038 protein	132	15,240		syn:slr0038;
P74028	sll1219		Sll1219 protein	108	12,030		syn:sll1219;
P74019	sll1225		Sll1225 protein	149	17,295		syn:sll1225;
Q55521	sll0524		Sll0524 protein	447	47,479		syn:sll0524;
P72674	slr0730		Slr0730 protein	132	15,153		syn:slr0730;
P73420	slr1535		Slr1535 protein	489	55,017		syn:slr1535;
P74729	sll0576		HrEpiB	312	34,951		syn:sll0576;
P74649	sll0721		Leukotoxin LtA	1290	139,548		syn:sll0721;
P73576	slr0888		Slr0888 protein	168	18,465		syn:slr0888;
P74283	ssl3044		Hydrogenase component	99	10,819		syn:ssl3044;
P73596	sll1307		Sll1307 protein	175	17,849		syn:sll1307;
P72953	sll0644		Esterase	331	36,409		syn:sll0644;
P72917	ssr1768		Ssr1768 protein	65	7,488		syn:ssr1768;
Q6ZEE5	ssl7053		Ssl7053 protein	80	8,868		syn:ssl7053;
Q55876	slr0105		Slr0105 protein	462	51,930		syn:slr0105;
P74684	sll0444		Sll0444 protein	167	18,332		syn:sll0444;
P74513	slr1951		Slr1951 protein	157	17,648		syn:slr1951;
P74382	sll0423		Sll0423 protein	155	18,479		syn:sll0423;
P74398	sll0269		Sll0269 protein	137	14,970		syn:sll0269;
Q6ZER6	ssl5064		Ssl5064 protein	96	11,171		syn:ssl5064;
P74772	ssl1046		Ssl1046 protein	84	9,139		syn:ssl1046;
